isn_dob_bis_viol,boro,bin,block,lot,issue_date,violation_type_code,violation_number,house_number,street,device_number,description,number,violation_category,violation_type,disposition_date,disposition_comments
22419,1,0,847.0,38.0,19881122,E,1179A-04,222,4TH AVE,1P4050,(51) REMOVE ALL DEADBOLT LOCKS,V112288E1179A-04,V-DOB VIOLATION - ACTIVE,E-ELEVATOR                                                        ELEVATORREQUIRED,,
32085,1,0,847.0,38.0,19881122,E,1179A-05,222,4TH AVE,1P23210,,V112288E1179A-05,V-DOB VIOLATION - ACTIVE,E-ELEVATOR                                                        ELEVATORREQUIRED,,
22405,1,0,847.0,38.0,19881122,E,1179A/03,222,4TH AVE,1P4049,(51)  REMOVE ALL DEADBOLT LOCKS ON HOISTWAY DOORS                                    (50)  TO M/R PIT OVERHEAD,V112288E1179A/03,V-DOB VIOLATION - ACTIVE,E-ELEVATOR                                                        ELEVATORREQUIRED,,
22408,1,0,847.0,38.0,19881122,E,1179A-06,222,4TH AVE,1F3204,(51)  RESTORE TO SERVICE,V*112288E1179A-06,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19890208.0,266-81
23135,1,0,848.0,43.0,19881123,E,1179A-01,242,FOURTH AVE,1P4068,(21)  RESHACKLE CAR AND CWT (33) REPAIR GLASS ON HOISTWAY DOOR                             TOP FLOOR (51) TAG GOVERNOR FOR ALL TEST                                  (46)  CAR TOP LIGHT,V*112388E1179A-01,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19890501.0,257-81
23133,1,0,848.0,43.0,19881123,E,1179A-02,242,FOURTH AVE,1P4069,(51)  PRSCHACKLE CAR AND CWT (52)  TAG GOVERNOR FOR ALL TEST                         (53)  REPAIR GRATING IN MOTOR ROOM,V*112388E1179A-02,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19890501.0,257-81
23142,1,0,848.0,43.0,19881123,E,1179A-03,242,FOURTH AVE,1P4066,(51)  TAG GOVENOR FOR ALL TEST,V*112388E1179A-03,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19890501.0,257-81
23137,1,0,848.0,43.0,19881123,E,1179A-04,242,FOURTH AVE,1P4067,(51)  TAG GOVENOR FOR ALL TEST,V*112388E1179A-04,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19890501.0,257-81
15571,1,0,855.0,24.0,19880912,E,110628/1,354,4TH AVE,1P4679,,V*091288E110628/1,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19890303.0,111-75
20942,1,0,859.0,39.0,19881014,E,1156A-4,424,4TH AVE,1P5334,(51)  REPAIR LIGHTS ELEVATOR CAB,V101488E1156A-4,V-DOB VIOLATION - ACTIVE,E-ELEVATOR                                                        ELEVATORREQUIRED,,
